,age,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,is_violent_recid,decile_score,v_decile_score,priors_count,start,end,event,two_year_recid,labels
1558,34,0,0,0,0,3,0,1,1,3,0,1068,0,0,0
2782,25,0,0,0,2,3,0,6,3,3,7,580,0,0,1
1203,42,0,0,0,0,0,0,1,1,0,0,80,0,0,0
5010,38,0,0,0,0,0,0,2,1,0,0,1181,0,0,0
6491,27,0,0,0,0,2,0,2,2,2,0,104,0,0,0
5985,26,0,0,0,0,5,0,4,3,5,2,171,0,0,0
4641,25,0,2,3,0,8,0,10,9,8,0,529,0,0,1
6232,43,0,0,0,0,2,0,1,1,2,1,1093,0,0,0
3563,25,0,1,0,0,2,0,9,7,2,0,498,0,0,1
3541,31,0,0,0,0,2,0,4,6,2,1,356,0,0,0
698,44,0,0,0,0,1,0,1,1,1,0,442,0,0,0
4958,37,0,0,0,0,0,0,1,1,0,12,1064,0,0,0
4871,22,0,0,0,0,1,0,4,6,1,2,289,0,0,0
3515,69,0,0,0,0,3,0,6,1,3,0,947,0,0,1
1725,27,0,0,0,0,3,0,3,2,3,11,747,0,0,0
6370,64,0,0,0,0,0,0,1,1,0,3,1070,0,0,0
1778,34,0,0,0,0,2,0,4,1,2,0,625,0,0,0
5698,30,0,0,0,0,0,0,4,3,0,4,670,0,0,0
6087,27,0,0,0,0,0,0,3,3,0,0,798,0,0,0
2589,30,0,0,0,0,0,0,2,2,0,0,890,0,0,0
3782,35,0,0,0,0,1,0,4,3,1,0,1013,0,0,0
1419,22,0,0,0,0,1,0,7,6,1,0,13,0,0,1
2670,41,0,0,0,0,0,0,1,1,0,177,910,0,0,0
5485,21,0,0,0,0,0,0,6,7,0,0,904,0,0,1
4656,32,0,0,0,0,9,0,8,8,9,111,945,1,0,1
6525,34,0,0,0,0,10,0,7,5,10,0,1150,0,0,1
332,36,0,0,0,0,0,0,7,5,0,11,1061,0,0,1
1080,32,0,0,0,0,0,0,1,2,0,0,1154,0,0,0
4374,39,0,0,0,0,35,0,10,8,35,0,47,0,0,1
2836,37,0,0,0,0,0,0,9,3,0,0,825,0,0,1
6872,29,0,0,0,0,0,0,1,2,0,1,855,0,0,0
4663,29,0,0,0,0,5,0,7,3,5,1,1079,1,0,1
1561,22,0,0,0,0,0,0,3,5,0,0,742,0,0,0
7036,33,0,0,0,0,2,0,4,4,2,0,776,0,0,0
3358,50,0,0,0,0,4,0,3,1,4,12,410,0,0,0
6514,58,0,0,0,0,0,0,1,1,0,0,1174,0,0,0
2005,40,0,0,0,0,4,0,1,1,4,0,1119,0,0,0
5331,50,0,0,0,0,1,0,1,1,1,0,790,0,0,0
4835,34,0,0,0,0,1,0,9,7,1,0,148,0,0,1
6340,48,0,0,0,0,4,0,8,4,4,0,43,0,0,1
6173,36,0,0,0,0,1,0,1,2,1,0,1124,0,0,0
4950,49,0,0,0,0,1,0,1,1,1,0,884,0,0,0
6456,46,0,0,0,0,0,0,1,1,0,0,809,0,0,0
2439,53,0,0,0,0,4,0,7,1,4,0,1065,0,0,1
1944,25,0,0,0,0,0,0,4,4,0,6,734,0,0,0
2108,29,0,0,1,0,6,0,7,5,6,0,301,0,0,1
4767,56,0,0,0,0,16,0,5,2,16,0,431,0,0,1
3132,40,0,1,0,0,15,0,8,6,15,54,1086,0,0,1
363,26,0,0,0,0,0,0,10,10,0,0,53,0,0,1
170,32,0,0,0,0,5,0,7,3,5,0,1138,0,0,1
6992,21,0,0,0,0,1,0,5,7,1,0,760,0,0,1
5885,26,0,0,0,0,2,0,4,4,2,0,760,0,0,0
5570,30,0,0,0,0,4,0,5,2,4,0,894,0,0,1
3516,27,0,0,1,0,11,0,8,6,11,4,151,0,0,1
5194,25,0,0,0,0,0,0,7,5,0,0,57,0,0,1
6279,33,0,0,0,0,3,0,4,4,3,0,907,0,0,0
4726,31,0,0,0,0,0,0,4,2,0,0,1136,0,0,0
6748,55,0,0,0,0,1,0,5,5,1,0,889,0,0,1
688,36,0,0,0,0,1,0,5,5,1,0,940,0,0,1
6013,24,0,0,0,0,3,0,7,6,3,93,922,0,0,1
1516,34,0,0,0,0,15,0,7,7,15,0,230,0,0,1
4323,59,0,0,0,0,0,0,1,1,0,1,865,0,0,0
5008,36,0,0,0,0,0,0,1,1,0,0,1115,0,0,0
2041,40,0,0,0,0,7,0,4,1,7,0,104,0,0,0
1597,45,0,0,0,0,2,0,6,2,2,28,1154,0,0,1
6609,21,0,0,0,0,2,0,4,6,2,0,967,0,0,0
2301,26,0,0,0,0,2,0,4,4,2,0,1008,0,0,0
5693,35,0,0,0,0,0,0,3,4,0,0,1092,0,0,0
5596,26,0,0,0,0,0,0,9,7,0,0,46,0,0,1
3292,23,0,0,0,0,0,0,7,6,0,1,885,0,0,1
4355,37,0,0,0,0,3,0,1,1,3,28,938,0,0,0
5441,37,0,0,0,0,8,0,5,2,8,13,762,1,0,1
7156,36,0,0,0,0,0,0,2,1,0,2,782,0,0,0
1641,28,0,0,0,0,5,0,6,2,5,0,1111,0,0,1
3176,24,0,0,0,0,0,0,2,3,0,0,805,0,0,0
6848,21,0,0,0,0,0,0,10,9,0,78,1156,0,0,1
6184,43,0,0,0,0,0,0,1,1,0,0,1066,0,0,0
6093,47,0,0,0,0,3,0,2,1,3,1,817,0,0,0
1253,22,0,0,0,0,0,0,5,7,0,34,552,0,0,1
811,35,0,0,0,0,7,0,6,2,7,0,780,0,0,1
5863,26,0,0,0,0,1,0,4,5,1,0,795,0,0,0
2213,45,0,0,0,0,1,0,4,2,1,5,914,0,0,0
5559,35,0,0,0,0,0,0,1,1,0,0,956,0,0,0
2947,29,0,0,0,0,5,0,8,5,5,0,1049,0,0,1
3061,25,0,0,0,1,1,0,8,8,1,0,620,0,0,1
1548,21,0,0,0,0,0,0,4,6,0,1,1029,1,0,0
6385,31,0,0,0,0,1,0,10,6,1,0,106,0,0,1
5749,36,0,0,0,0,4,0,2,1,4,0,599,0,0,0
6331,25,0,0,0,0,0,0,4,4,0,0,455,0,0,0
5488,37,0,0,0,0,7,0,7,3,7,0,171,0,0,1
6832,24,0,0,0,0,1,0,7,5,1,24,627,0,0,1
2121,23,0,1,0,0,2,0,7,5,2,17,753,0,0,1
3293,39,0,0,0,0,3,0,2,3,3,0,1106,0,0,0
803,33,0,0,0,0,0,0,2,2,0,1,805,0,0,0
3758,51,0,0,0,0,3,0,3,2,3,0,935,0,0,0
590,25,0,0,0,0,0,1,3,4,0,0,892,1,0,0
2826,34,0,0,0,0,22,0,9,4,22,0,214,0,0,1
3380,26,0,0,0,0,7,0,7,6,7,0,247,0,0,1
1288,44,0,0,0,0,2,0,5,2,2,1,618,0,0,1
2233,39,0,0,1,0,7,0,2,1,7,0,114,0,0,0
2403,33,0,0,0,0,8,0,6,5,8,1,845,1,0,1
1945,22,0,0,0,0,0,0,3,5,0,0,1121,0,0,0
5645,35,0,0,0,0,1,1,6,5,1,63,804,1,0,1
3989,27,0,0,0,0,0,0,2,4,0,0,840,0,0,0
4095,51,0,0,0,0,3,0,1,1,3,2,934,0,0,0
5569,50,0,0,0,0,9,0,9,7,9,0,990,0,0,1
5197,22,0,0,0,0,0,0,4,5,0,0,884,0,0,0
222,48,0,0,0,0,0,0,1,1,0,0,1174,0,0,0
4436,53,0,0,0,0,4,0,7,1,4,0,940,0,0,1
3642,30,0,0,0,0,0,0,1,1,0,1,885,0,0,0
4049,45,0,0,0,0,1,0,1,1,1,0,1015,0,0,0
3371,36,0,0,0,0,11,0,7,3,11,0,936,1,0,1
4325,40,0,0,0,0,0,0,1,1,0,1,1136,0,0,0
706,26,0,0,1,0,8,0,6,6,8,0,840,0,0,1
1813,42,0,0,0,0,7,0,5,3,7,0,983,0,0,1
4798,27,0,0,0,0,2,0,7,6,2,82,874,0,0,1
983,54,0,0,0,0,2,0,2,3,2,0,935,0,0,0
5767,30,0,0,1,0,1,0,2,2,1,1,799,0,0,0
6191,21,0,0,0,0,0,0,5,6,0,0,788,0,0,1
6391,24,0,0,0,1,0,0,2,4,0,0,776,0,0,0
4990,29,0,3,0,0,6,0,2,2,6,0,784,0,0,0
6064,61,0,0,0,0,25,0,7,4,25,0,1102,0,0,1
2855,29,0,0,0,0,2,0,9,6,2,160,375,0,0,1
1528,29,0,0,0,0,11,0,8,5,11,0,880,0,0,1
3252,32,0,0,0,0,1,0,2,2,1,0,912,0,0,0
3065,63,0,0,0,0,6,0,3,2,6,24,1075,0,0,0
6651,25,0,0,0,0,2,0,8,6,2,0,760,0,0,1
4129,35,0,0,0,0,1,0,5,5,1,1,820,0,0,1
5785,27,0,0,0,0,0,1,3,3,0,0,1038,1,0,0
4178,28,0,0,0,0,3,0,7,8,3,0,966,0,0,1
4003,27,0,0,0,0,7,0,6,4,7,4,951,0,0,1
1547,46,0,0,0,0,0,0,7,4,0,1,871,0,0,1
6940,24,0,0,3,0,12,0,10,9,12,16,893,0,0,1
2025,21,0,0,0,0,0,0,5,7,0,49,298,0,0,1
5051,37,0,0,0,0,0,0,8,7,0,0,1076,0,0,1
2932,56,0,0,0,0,24,0,8,4,24,0,22,0,0,1
7070,47,0,0,0,0,1,0,1,2,1,0,835,1,0,0
4920,31,0,0,0,0,1,0,5,3,1,0,1154,0,0,1
7208,20,0,0,0,0,0,0,9,9,0,0,169,0,0,1
3020,32,0,0,0,0,2,0,3,2,2,0,340,0,0,0
2558,59,0,0,0,0,0,0,2,1,0,0,1152,0,0,0
4499,57,0,0,0,0,2,0,2,1,2,0,1179,0,0,0
1003,31,0,0,0,0,0,0,10,10,0,0,802,0,0,1
2315,24,0,0,0,0,0,0,3,3,0,0,955,0,0,0
6628,26,0,0,0,0,0,0,2,3,0,0,1122,0,0,0
3941,39,0,0,0,0,4,0,6,1,4,0,700,0,0,1
2505,25,0,0,0,0,2,0,4,4,2,0,405,0,0,0
4208,30,0,0,0,0,2,0,2,2,2,0,800,0,0,0
3385,31,0,0,0,0,3,0,5,3,3,61,74,0,0,1
4401,31,0,0,0,0,2,0,2,2,2,1,443,0,0,0
3648,37,0,0,0,0,4,0,5,3,4,0,813,0,0,1
7137,33,0,0,0,0,3,0,4,4,3,0,777,0,0,0
2091,37,0,0,0,0,4,0,4,2,4,93,948,0,0,0
4395,23,0,0,0,0,1,0,5,6,1,0,117,0,0,1
888,32,0,0,0,0,4,0,5,2,4,108,892,0,0,1
4706,25,0,0,0,0,1,0,4,3,1,0,735,0,0,0
5482,28,0,0,0,0,2,0,4,4,2,0,836,0,0,0
2516,63,0,0,0,0,1,0,6,2,1,0,1023,0,0,1
4396,38,0,0,0,0,0,0,1,1,0,1,946,0,0,0
4235,63,0,0,0,0,1,0,1,1,1,0,875,0,0,0
2499,27,0,0,0,0,1,0,1,2,1,0,857,0,0,0
6838,49,0,0,0,0,2,0,1,1,2,1,809,0,0,0
2972,32,0,0,0,0,0,0,2,1,0,0,786,0,0,0
3744,46,0,0,0,0,9,0,4,2,9,4,890,0,0,0
6642,21,0,0,0,0,1,0,9,10,1,1,34,0,0,1
2029,25,0,0,0,0,1,0,6,6,1,2,792,0,0,1
1706,26,0,0,0,0,3,0,5,3,3,0,1050,0,0,1
3390,24,0,0,0,0,1,0,4,4,1,1,1151,0,0,0
4997,23,0,0,0,0,1,0,3,4,1,0,876,0,0,0
5774,33,0,0,0,0,0,0,5,4,0,44,968,0,0,1
3172,30,0,0,0,0,1,0,8,9,1,0,1043,0,0,1
1776,54,0,0,0,0,0,0,1,1,0,0,1156,0,0,0
5888,22,0,0,0,0,2,1,8,8,2,0,748,1,0,1
5148,51,0,0,0,0,4,0,1,2,4,0,1143,0,0,0
1290,30,0,0,0,0,1,0,1,2,1,0,684,0,0,0
6241,36,0,0,0,0,2,0,2,2,2,0,1127,0,0,0
3838,24,0,0,0,0,1,0,7,7,1,0,811,0,0,1
5424,61,0,0,0,0,9,0,2,2,9,0,253,0,0,0
5637,32,0,0,0,0,2,0,10,7,2,0,127,0,0,1
5837,36,0,0,0,0,0,0,6,5,0,1,929,0,0,1
6198,24,0,0,0,0,0,0,7,4,0,2,831,0,0,1
6630,35,0,0,0,0,5,0,2,2,5,0,975,0,0,0
6070,28,0,0,0,0,0,0,2,3,0,0,780,0,0,0
1770,21,0,0,0,0,0,0,5,6,0,0,1072,0,0,1
3741,34,0,0,0,0,5,0,1,2,5,3,775,0,0,0
5250,27,0,0,0,0,1,0,5,2,1,1,773,0,0,1
4174,60,0,0,0,0,2,0,1,1,2,1,924,0,0,0
2634,54,0,0,0,0,0,0,1,1,0,0,335,0,0,0
4036,32,0,0,0,0,1,0,3,4,1,0,1131,0,0,0
1824,26,0,0,0,0,0,0,2,2,0,0,974,0,0,0
3313,25,0,0,0,0,1,0,2,3,1,0,255,0,0,0
1308,27,0,0,0,0,0,0,3,3,0,0,774,0,0,0
2521,28,0,1,1,0,5,0,10,10,5,136,1181,0,0,1
2806,29,0,0,0,0,1,0,1,2,1,0,1177,0,0,0
1466,21,0,0,0,0,1,0,8,8,1,0,37,0,0,1
3296,21,0,0,0,0,0,0,4,6,0,1,969,0,0,0
4164,24,0,0,1,0,1,0,7,7,1,32,1182,0,0,1
2801,29,0,0,0,0,4,0,4,2,4,0,869,0,0,0
4675,34,0,0,0,0,3,0,9,7,3,0,1067,0,0,1
1169,49,0,0,0,0,3,0,2,1,3,1,1084,0,0,0
2669,37,0,0,0,0,2,0,1,1,2,1,789,0,0,0
3532,25,0,0,1,0,9,0,7,4,9,0,792,0,0,1
4714,28,0,0,0,0,1,0,6,4,1,0,886,0,0,1
6440,53,0,0,0,0,20,0,5,5,20,0,31,0,0,1
1021,56,0,0,0,0,8,0,3,3,8,0,864,0,0,0
4936,41,0,0,0,0,0,0,1,1,0,1,1105,0,0,0
507,26,0,0,0,0,1,0,7,4,1,0,963,0,0,1
6003,29,0,0,0,0,0,0,3,3,0,0,831,0,0,0
5212,27,0,0,0,0,0,0,6,7,0,1,779,0,0,1
4116,32,0,0,0,0,0,0,7,2,0,1,1086,0,0,1
7162,37,0,0,0,0,4,0,3,2,4,0,1098,0,0,0
6573,46,0,0,0,0,4,0,6,3,4,0,218,0,0,1
7008,47,0,0,0,0,4,0,6,6,4,0,788,0,0,1
6897,25,0,0,1,0,3,0,7,6,3,0,1116,0,0,1
1347,23,0,0,0,0,0,0,3,5,0,0,365,0,0,0
4468,29,0,0,0,0,0,0,2,2,0,1,909,0,0,0
1322,26,0,0,0,0,0,0,2,3,0,0,953,0,0,0
4799,25,0,0,0,0,3,0,3,3,3,0,1044,0,0,0
3103,21,0,0,0,0,0,0,5,8,0,46,991,1,0,1
3566,48,0,0,0,0,4,0,6,3,4,0,494,0,0,1
1059,24,0,0,0,0,1,0,3,4,1,0,279,0,0,0
2656,36,0,0,0,0,6,0,5,5,6,83,1182,0,0,1
2920,21,0,0,0,0,1,0,4,6,1,0,151,0,0,0
6861,44,0,0,0,0,0,0,1,1,0,0,933,0,0,0
1718,29,0,0,0,0,1,0,2,2,1,0,907,1,0,0
2716,21,0,0,0,1,0,0,9,9,0,1,1106,0,0,1
1570,24,0,0,0,0,0,0,3,4,0,0,765,0,0,0
6037,23,0,0,0,0,0,0,4,5,0,0,1094,0,0,0
5663,44,0,0,0,0,0,0,1,1,0,0,914,0,0,0
2015,25,0,0,0,0,1,0,4,4,1,0,688,0,0,0
1619,25,0,0,0,0,0,0,3,4,0,1,1111,0,0,0
4034,26,0,0,0,0,0,0,2,2,0,1,786,0,0,0
4594,35,0,0,0,0,7,0,4,3,7,28,1057,0,0,0
3610,45,0,0,0,0,1,0,1,1,1,1,950,0,0,0
448,38,0,0,0,0,5,0,3,2,5,0,853,0,0,0
2081,41,0,0,0,0,4,0,5,2,4,0,895,0,0,1
1019,75,0,0,0,0,5,0,1,1,5,0,974,0,0,0
4639,22,0,0,0,0,1,0,3,5,1,0,907,0,0,0
5188,67,0,0,0,0,8,0,4,2,8,1,761,0,0,0
1846,24,0,0,0,0,0,0,7,4,0,0,1082,0,0,1
3215,52,0,0,0,0,19,0,3,1,19,0,883,0,0,0
3732,22,0,0,0,0,0,0,3,4,0,0,951,0,0,0
6032,25,0,0,0,0,1,0,2,3,1,0,835,0,0,0
932,24,0,0,0,0,2,0,7,5,2,0,317,0,0,1
1593,46,0,0,0,0,1,0,5,1,1,0,1153,0,0,1
3105,46,0,0,0,0,3,0,4,3,3,1,952,0,0,0
3073,50,0,0,0,0,0,0,1,2,0,0,1053,0,0,0
2791,26,0,0,1,0,5,0,5,4,5,0,1063,0,0,1
7193,25,0,0,0,0,1,0,2,3,1,0,869,0,0,0
113,37,0,0,0,0,3,0,2,1,3,1,102,0,0,0
6485,35,0,0,0,0,9,0,6,3,9,0,771,0,0,1
6618,28,0,0,0,0,1,0,2,2,1,0,1135,0,0,0
2133,27,0,0,0,0,0,0,2,3,0,1,972,0,0,0
7049,29,0,0,0,0,0,0,2,2,0,0,818,0,0,0
6534,21,0,0,1,0,2,0,9,6,2,0,894,0,0,1
749,71,0,0,0,0,8,0,1,2,8,24,1050,0,0,0
6330,27,0,1,2,1,6,0,10,10,6,0,159,0,0,1
100,24,0,0,0,0,1,0,2,3,1,0,503,0,0,0
7112,26,0,0,0,0,0,0,2,3,0,3,867,0,0,0
2990,30,0,0,0,0,1,0,4,3,1,1,1153,0,0,0
1661,25,0,0,1,0,6,0,7,5,6,32,958,0,0,1
2227,62,0,0,0,0,1,0,7,6,1,0,895,0,0,1
306,21,0,0,0,0,1,0,5,7,1,0,955,1,0,1
1713,27,0,0,0,0,10,0,9,8,10,7,1127,0,0,1
1571,70,0,0,0,0,1,0,1,1,1,1,1159,0,0,0
3391,38,0,0,0,0,0,0,4,3,0,1,725,0,0,0
2933,33,0,0,0,0,2,0,1,2,2,0,950,0,0,0
1582,27,0,0,0,0,1,0,2,2,1,0,793,0,0,0
1382,28,0,0,0,1,4,0,4,3,4,0,875,0,0,0
2047,56,0,0,0,0,1,0,2,1,1,0,884,0,0,0
6751,41,0,0,0,0,1,0,5,2,1,1,936,0,0,1
4587,28,0,0,0,0,0,0,2,3,0,0,894,0,0,0
6641,48,0,0,0,0,1,0,1,1,1,0,888,0,0,0
1880,25,0,0,0,1,2,0,9,8,2,273,514,0,0,1
1606,36,0,0,0,0,0,0,5,2,0,0,779,0,0,1
4876,27,0,0,0,0,8,0,8,7,8,0,381,0,0,1
6935,27,0,0,1,0,1,0,3,2,1,1,750,0,0,0
4692,40,0,0,0,0,2,0,5,1,2,100,1159,0,0,1
6113,59,0,0,0,0,1,0,1,1,1,62,1100,0,0,0
562,30,0,0,0,0,0,0,3,3,0,1,877,0,0,0
1882,36,0,0,0,0,0,0,1,1,0,0,345,0,0,0
2597,30,0,0,0,0,7,0,3,3,7,0,204,0,0,0
4271,28,0,0,0,0,1,0,5,5,1,0,1181,0,0,1
4467,21,0,0,1,0,2,0,9,7,2,0,743,0,0,1
2467,31,0,0,0,0,14,0,8,8,14,1,7,0,0,1
936,21,0,0,0,0,1,0,8,7,1,108,860,0,0,1
2433,38,0,0,0,0,0,0,1,1,0,3,1083,0,0,0
75,40,0,0,0,0,2,0,2,1,2,0,989,0,0,0
2531,32,0,0,0,0,0,0,2,1,0,0,948,0,0,0
1097,50,0,0,0,0,7,0,2,1,7,0,1151,0,0,0
2412,50,0,0,0,0,1,0,5,5,1,0,1030,0,0,1
5015,46,0,0,0,0,18,0,7,3,18,0,962,1,0,1
6695,23,0,1,1,2,4,0,10,10,4,30,747,0,0,1
6713,36,0,0,0,0,0,0,1,1,0,0,1145,0,0,0
6121,22,0,0,0,0,0,0,7,7,0,1,440,0,0,1
1993,37,0,0,0,0,12,0,3,2,12,0,87,0,0,0
69,56,0,0,0,0,0,0,1,1,0,3,916,0,0,0
3478,37,0,0,0,0,4,0,1,1,4,0,135,0,0,0
2032,60,0,0,0,0,0,0,1,1,0,1,812,1,0,0
4057,26,0,0,0,0,0,0,5,3,0,0,731,0,0,1
4729,46,0,0,0,0,3,0,1,1,3,1,1054,0,0,0
5323,34,0,0,0,0,4,0,6,6,4,0,1162,0,0,1
1569,36,0,2,0,0,5,0,10,8,5,0,510,0,0,1
4608,26,0,0,0,0,0,0,3,3,0,1,1100,0,0,0
3836,26,0,0,0,0,0,0,3,3,0,0,1133,0,0,0
5655,34,0,0,0,0,1,0,2,2,1,0,923,0,0,0
4519,23,0,0,0,0,1,0,4,4,1,0,830,0,0,0
2645,26,0,0,0,0,0,0,8,4,0,0,1149,0,0,1
1364,35,0,0,0,0,1,0,4,2,1,0,1156,0,0,0
1236,33,0,0,0,0,6,0,5,4,6,0,41,0,0,1
2688,22,0,0,1,0,2,0,9,7,2,0,1043,0,0,1
6784,46,0,0,0,0,4,0,1,1,4,0,948,0,0,0
5551,37,0,0,0,0,3,0,3,2,3,80,1159,0,0,0
726,22,0,0,0,0,0,0,8,5,0,0,871,0,0,1
407,32,0,0,0,0,3,0,2,2,3,1,494,0,0,0
6938,27,0,0,0,0,4,0,6,6,4,1,863,0,0,1
2008,51,0,0,0,0,0,0,1,1,0,0,1169,0,0,0
6271,28,0,0,0,0,0,0,3,4,0,190,320,0,0,0
3079,23,0,0,0,0,0,0,3,5,0,12,901,0,0,0
3179,30,0,0,1,0,4,0,6,2,4,1,279,0,0,1
6936,32,0,0,0,0,5,0,4,4,5,0,56,0,0,0
4321,65,0,0,0,0,0,0,1,1,0,0,767,0,0,0
1219,23,0,0,0,0,0,0,9,8,0,0,1045,0,0,1
450,45,0,0,0,0,16,0,2,1,16,0,912,0,0,0
1988,35,0,0,0,0,4,0,5,6,4,29,1170,0,0,1
6061,26,0,0,0,0,2,0,3,3,2,0,1068,0,0,0
1014,54,0,0,0,0,0,0,1,1,0,0,837,0,0,0
3055,21,0,0,0,0,0,0,4,5,0,0,826,0,0,0
4462,29,0,0,0,0,0,0,6,3,0,1,863,0,0,1
5539,42,0,0,0,0,7,0,1,1,7,0,830,0,0,0
2404,31,0,0,0,0,0,0,2,2,0,0,817,0,0,0
573,25,0,0,0,0,0,0,3,3,0,0,1039,0,0,0
2028,23,0,0,0,0,0,0,4,4,0,0,1083,0,0,0
1722,57,0,0,0,0,0,0,1,1,0,0,783,0,0,0
4042,35,0,0,0,0,4,0,6,7,4,0,852,0,0,1
6739,44,0,0,0,0,1,0,2,2,1,0,921,0,0,0
4131,24,0,0,0,0,0,0,3,4,0,0,789,0,0,0
5325,37,0,3,0,0,12,0,10,9,12,51,334,0,0,1
2448,34,0,0,0,0,0,0,1,1,0,1,852,0,0,0
5760,41,0,0,0,0,7,0,9,4,7,57,1101,0,0,1
7159,59,0,0,0,0,5,0,5,3,5,151,879,0,0,1
771,29,0,0,0,0,1,0,4,3,1,2,763,0,0,0
2405,26,0,0,0,0,1,0,5,4,1,0,1172,0,0,1
5160,40,0,0,0,0,2,0,1,1,2,0,1141,0,0,0
3656,53,0,0,0,0,13,0,7,6,13,90,1093,0,0,1
425,29,0,0,0,0,8,0,10,9,8,0,178,0,0,1
470,54,0,0,0,0,2,0,1,1,2,0,806,0,0,0
1040,40,0,0,0,0,0,0,1,1,0,1,1089,0,0,0
5338,56,0,0,0,0,1,0,1,2,1,0,98,0,0,0
6023,34,0,0,0,0,1,0,1,1,1,0,1138,0,0,0
3024,21,0,1,1,0,2,0,6,8,2,0,892,0,0,1
6142,50,0,0,0,0,15,0,8,4,15,0,850,0,0,1
3951,30,0,0,0,0,3,0,2,2,3,0,477,0,0,0
5787,40,0,0,0,0,2,1,3,3,2,0,161,0,0,0
4008,48,0,0,0,0,0,0,1,1,0,0,1185,0,0,0
3218,49,0,0,0,0,1,1,7,4,1,9,339,0,0,1
3697,28,0,0,0,0,5,0,4,4,5,0,968,0,0,0
592,27,0,0,0,0,0,0,2,3,0,0,1174,0,0,0
5454,53,0,0,0,0,5,0,6,4,5,1,787,0,0,1
2653,22,0,0,0,0,1,0,6,7,1,0,905,0,0,1
1624,31,0,0,0,0,2,0,2,2,2,0,555,0,0,0
1648,24,0,0,0,0,1,0,3,6,1,0,1171,0,0,0
3241,29,0,0,0,0,5,0,8,4,5,1,191,0,0,1
1879,26,0,0,0,0,6,0,6,6,6,1,953,0,0,1
4909,68,0,0,0,0,6,0,4,1,6,2,640,0,0,0
3749,40,0,0,0,0,21,0,5,3,21,29,1044,0,0,1
4490,28,0,0,0,0,0,0,2,2,0,1,1108,0,0,0
604,30,0,0,0,0,1,0,7,4,1,1,56,0,0,1
4149,25,0,0,0,0,0,0,2,3,0,0,777,0,0,0
2199,43,0,0,0,0,0,0,4,1,0,0,734,0,0,0
1201,33,0,0,0,0,1,0,2,2,1,0,1129,0,0,0
3494,42,0,0,0,0,5,0,6,6,5,2,310,0,0,1
3803,45,0,1,0,1,20,0,7,2,20,46,789,1,0,1
1649,44,0,0,0,0,9,0,3,1,9,0,73,0,0,0
2203,26,0,0,0,0,1,0,6,7,1,0,907,0,0,1
6647,32,0,0,0,0,0,0,7,4,0,24,815,0,0,1
7029,42,0,0,0,0,0,0,7,4,0,7,1185,0,0,1
4234,34,0,0,0,0,12,0,7,5,12,35,785,0,0,1
6987,22,0,0,0,0,0,0,10,10,0,3,1057,0,0,1
2922,26,0,0,0,0,1,0,3,2,1,0,35,0,0,0
5434,35,0,0,0,0,8,0,6,4,8,8,973,0,0,1
1488,32,0,0,0,0,2,0,3,3,2,0,740,0,0,0
6858,51,0,0,0,0,3,0,2,2,3,0,848,0,0,0
5198,37,0,0,0,0,8,0,6,4,8,1,194,0,0,1
4202,47,0,0,0,0,9,0,4,2,9,64,861,1,0,0
7059,47,0,0,0,0,0,0,1,1,0,1,1110,0,0,0
6275,39,0,0,0,0,9,0,5,1,9,0,1072,0,0,1
4081,36,0,0,0,0,4,0,8,5,4,0,1100,0,0,1
1849,51,0,0,0,0,4,0,7,6,4,0,952,0,0,1
6486,26,0,0,0,0,1,0,1,2,1,14,195,0,0,0
2322,21,0,0,0,0,1,0,2,5,1,0,333,0,0,0
3871,32,0,0,0,0,3,0,6,4,3,0,754,0,0,1
1478,47,0,0,0,0,1,0,6,3,1,0,932,0,0,1
750,39,0,0,4,0,10,0,9,3,10,40,238,0,0,1
399,29,0,1,0,0,2,0,5,5,2,1,1092,0,0,1
831,43,0,1,0,0,20,0,8,4,20,1,51,0,0,1
3074,31,0,0,0,0,1,0,2,1,1,0,1054,0,0,0
948,54,0,0,0,0,0,0,1,1,0,1,1133,0,0,0
1929,35,0,0,0,0,1,0,2,1,1,0,765,0,0,0
3645,33,0,0,0,0,0,0,2,2,0,1,826,0,0,0
3426,25,0,0,1,1,8,0,10,8,8,0,1128,0,0,1
3383,27,0,0,0,0,3,0,2,4,3,0,761,0,0,0
4141,32,0,0,0,0,3,0,6,3,3,0,1133,0,0,1
3158,56,0,0,0,0,1,0,1,1,1,0,1079,0,0,0
1037,21,0,0,0,0,0,0,5,6,0,0,826,0,0,1
1223,35,0,0,0,0,0,0,1,1,0,0,882,0,0,0
5980,26,0,0,0,0,2,0,6,4,2,32,1091,0,0,1
3281,41,0,0,0,0,0,0,7,1,0,0,804,0,0,1
1211,34,0,0,0,0,0,1,3,2,0,0,803,1,0,0
1716,25,0,0,0,1,9,0,7,4,9,2,537,0,0,1
6425,25,0,0,0,0,4,0,5,8,4,0,933,0,0,1
300,30,0,0,0,0,2,0,1,2,2,0,889,0,0,0
1781,22,0,0,0,0,0,0,4,5,0,0,785,0,0,0
2232,52,0,0,0,0,2,0,1,1,2,0,1005,0,0,0
1451,69,0,0,0,0,3,0,1,2,3,0,968,0,0,0
5366,24,0,0,0,0,1,0,7,9,1,141,1156,0,0,1
736,29,0,0,0,0,0,0,2,3,0,0,474,0,0,0
5169,25,0,0,0,0,0,0,3,5,0,0,88,0,0,0
314,27,0,0,0,0,0,0,1,2,0,1,1089,0,0,0
